№ экс	№ ОФ	№ шт	Тонн
030	5	0	86,2
030	6	0	1317,8
030	7	0	86,7
113	6	4	256,3
113	4	5	232,1
113	5	5	640,9
197	3	3	131,3
203	2	2	1132,7
203	3	2	634,8
203	2	3	762,3
203	3	3	376,4
203	2	4	263,5
203	3	4	382,6
203	5	4	123,6
203	6	4	147,7
320	4	1	860
320	5	1	121,3
320	2	2	124,8
320	2	3	363,2
320	3	3	371
320	5	4	1010
320	6	4	119,4
557	5	7	703,5
757	2	2	128,8
757	3	2	133
757	2	3	379,9
757	3	3	115,4
757	3	4	263,9
989	2	2	1209,3
989	3	2	118,6
989	2	3	250,1
989	3	3	365,1
989	4	5	634,3
0138	5	4	2496,1
0138	6	4	526,6
0138	7	4	789,4
0138	4	7	92,2
0138	5	7	538,3
0138	6	7	177,2
0140	2	2	1093
0140	3	2	743,7
0140	2	4	1070,7
0140	3	4	1334,1
0140	2	5	337,2
030	6	0	243,3
030	7	0	302,4
113	4	5	249,6
320	5	4	246,3
320	6	4	122,3
757	2	2	258,4
757	3	3	140,5
989	3	3	345,1
С+0023h	5	7	86,5
С+0023h	6	7	701,5
С+0030	2	7	151,7
С+0030	3	7	416,9
0138	5	4	184,8
0138	6	4	441
0140	2	4	575,4
30/-10	2	0	252,7
30/-11	4	6	291,4
30/-11	5	6	136,3
30/-11	6	6	205,2
30/-11	7	6	278,2
30/-11	4	6	340,1
30/-11	6	6	226,3
30/-11	7	6	1252,1
30/-10	2	0	914,2
30/-10	3	0	436,7
30/-11	2	0	87,3
30/-10	2	0	383,5
30/-10	3	0	257,5
30/-11	4	6	145
30/-11	7	6	744,8
30/-11	5	6	280,6
30/-11	7	6	534,1
